"field","options_fingerprint","key","choice","first_seen"
"result_level","5-529304297","landscape approach workshop held | 1 learning workshops held","process","2026-09-10"
"result_level","5-529304297","secretariat relocated and hosted by nepad agency |","output","2026-09-10"
"result_level","5-529304297","15,861 hectares under sustainable land and water management practices (slwm) | 15861 hectares under sustainable land and water management practices","output","2026-09-10"
"result_level","5-529304297","63,500 individuals benefited | 63500 individuals benefited","output","2026-09-10"
"result_level","5-529304297","600,995 hectares under cremas | 600995 hectares under cremas","output","2026-09-10"
"result_level","5-529304297","presence of the shea processing facility has contributed to increased pressure on access to wild shea nuts |","outcome","2026-09-10"
"result_level","5-529304297","9,289 hectares protected and managed (conservation areas) | 9289 hectares of protected and managed conservation areas","output","2026-09-10"
"result_level","5-529304297","7,583 hectares under sustainable agricultural practices | 7583 hectares under sustainable agricultural practices","output","2026-09-10"
"result_level","5-529304297","1,099,647 tco2e avoided | 1099647 tco2e avoided","impact","2026-09-10"
"result_level","5-529304297","in liberia, smallholder palm oil producers adopted more sustainable practices |","outcome","2026-09-10"
"result_level","5-529304297","ggp support for the national oil palm platform (noppol) aligned partners around sustainability guidelines that followed the global roundtable on sustainable palm oil |","outcome","2026-09-10"
"result_level","5-529304297","modest progress was made in cold chain and market access improvements in cabo verde | cold chain and market access improvements","outcome","2026-09-10"
"result_level","5-529304297","number of associations that received seed and other inputs | 28 associations receiving seed and other inputs","output","2026-09-10"
"result_level","5-529304297","number of associations reporting training & technical assistance from oxfam | 12 associations reporting training & technical assistance","output","2026-09-10"
"result_level","5-529304297","number of surveyed associations legally recognized | 1 associations legally recognized","output","2026-09-10"
"result_level","5-529304297","number of surveyed associations with land legalized | 0 associations with land legalized","output","2026-09-10"
"result_level","5-529304297","number of associations with a written production plan | 0 associations with written production plan","output","2026-09-10"
"result_level","5-529304297","number of associations carrying out processing activities | 1 associations carrying out processing activities","output","2026-09-10"
"result_level","5-529304297","number of associations with 'excellent' road access | 2 associations with 'excellent' access roads","output","2026-09-10"
"result_level","5-529304297","number of associations with 'reasonable' road access | 23 associations with 'reasonable' access roads","output","2026-09-10"
"result_level","5-529304297","number of associations with 'poor' road access | 3 associations with 'poor' access roads","output","2026-09-10"
"result_level","5-529304297","number of associations carrying out group sales | 15 associations carrying out group sales","output","2026-09-10"
"result_level","5-529304297","number of associations that ever had a production contract with a buyer | 11 associations with production contracts","output","2026-09-10"
"result_level","5-529304297","number of associations contracted to produce soybeans for ikuro | 2 associations contracted to ikuro for soybeans","output","2026-09-10"
"result_level","5-529304297","number of associations contracted to produce tobacco for j.f.s | 2 associations contracted to j.f.s for tobacco","output","2026-09-10"
"result_level","5-529304297","number of associations contracted to produce tobacco for m.l.t | 3 associations contracted to m.l.t for tobacco","output","2026-09-10"
"result_level","5-529304297","number of associations contracted to produce sunflower for devolt | 1 associations contracted to devolt for sunflower","output","2026-09-10"
"result_level","5-529304297","number of associations contracted to produce sesame for ucasn | 1 associations contracted to ucasn for sesame","output","2026-09-10"
"result_level","5-529304297","number of associations contracted to produce paprika for world relief | 1 associations contracted to world relief for paprika","output","2026-09-10"
"result_level","5-529304297","number of associations with a collection point | 6 associations with a collection point","output","2026-09-10"
"result_level","5-529304297","number of associations with a warehouse | 6 associations with a warehouse","output","2026-09-10"
"result_level","5-529304297","number of associations with a seed bank | 5 associations with a seed bank","output","2026-09-10"
"result_level","5-529304297","number of associations that received business plan / business development training | 5 associations receiving business plan training","output","2026-09-10"
"result_level","5-529304297","number of associations that received marketing training | 7 associations receiving marketing training","output","2026-09-10"
"result_level","5-529304297","number of associations that received hiv/sida training | 13 associations receiving hiv/sida training","output","2026-09-10"
"result_level","5-529304297","number of associations that learned to grow maize (new) | 14 associations reporting learning to grow maize","output","2026-09-10"
"result_level","5-529304297","number of associations with women elected as leaders | 19 associations with women elected as leaders","output","2026-09-10"
"result_level","5-529304297","number of associations that have an operations fund | 7 associations with operations fund","output","2026-09-10"
"result_level","5-529304297","number of associations with a bank account | 0 associations with bank account","output","2026-09-10"
"result_level","5-529304297","number of xitique groups operating in mirreia ii | 3 xitique groups","output","2026-09-10"
"result_level","5-529304297","""through the application of ipm techniques, nearly ten thousand (10 000) farm managers (compared to one thousand envisaged at project start-up) were able to increase their yields of subsistence crops"" | 10000 farm managers","outcome","2026-09-10"
"result_level","5-529304297","""yields 2003 (kg/ha) ipm plot 3726"" | 3726 kg/ha","outcome","2026-09-10"
"result_level","5-529304297","""yields 2003 (kg/ha) ipm plot 945"" | 945 kg/ha","outcome","2026-09-10"
"result_level","5-529304297","""yields 2003 (kg/ha) ipm plot 1137"" | 1137 kg/ha","outcome","2026-09-10"
"result_level","5-529304297","""yields 2003 (kg/ha) ipm plot 835"" | 835 kg/ha","outcome","2026-09-10"
"result_level","5-529304297","""yields 2003 (kg/ha) ipm plot 6930"" | 6930 kg/ha","outcome","2026-09-10"
"result_level","5-529304297","""yields 2003 (kg/ha) ipm plot 1296"" | 1296 kg/ha","outcome","2026-09-10"
"result_level","5-529304297","""yields 2003 (kg/ha) ipm plot 1104"" | 1104 kg/ha","outcome","2026-09-10"
"result_level","5-529304297","""yields 2003 (kg/ha) ipm plot 2781"" | 2781 kg/ha","outcome","2026-09-10"
"result_level","5-529304297","""the ngala school is provided with the required equipment and operational"" |","output","2026-09-10"
"result_level","5-529304297","""some farmers produce and sell these products on the local market."" |","outcome","2026-09-10"
"result_level","5-529304297","there has been a significant uptake in the adoption of these products, particularly among those who participated in the program. |","outcome","2026-09-10"
"result_level","5-529304297","farmers articulate an improvement in their farming abilities and risk management practices after attending financial education programs. |","outcome","2026-09-10"
"result_level","5-529304297","the eastern province demonstrates the highest uptake of insurance products among farmers | uptake of insurance products","outcome","2026-09-10"
"result_level","5-529304297","the southern province follows closely | insurance product uptake","outcome","2026-09-10"
"result_level","5-529304297","most of farmers in these regions had not subscribed to any form of insurance cover | not subscribed to any form of insurance cover","outcome","2026-09-10"
"result_level","5-529304297","northern and western provinces have less traction in terms of insurance product uptake | insurance product uptake","outcome","2026-09-10"
"result_level","5-529304297","national coastal fisheries management plan adopted in december 2020 and partially implemented | 1 eaf demersal fisheries management plan implemented","output","2026-09-10"
"result_level","5-529304297","fisheries monitoring center built, equipped, and made functional | 1 fisheries monitoring center built and functional","output","2026-09-10"
"result_level","5-529304297","2,104 vessels registered | 2104 vessels registered","output","2026-09-10"
"result_level","5-529304297","756 vessels inspected (25.2% of motorized fleet) | 756 vessels inspected","output","2026-09-10"
"result_level","5-529304297","cold chain chamber constructed and operational | 1 operational fisheries infrastructure","output","2026-09-10"
"result_level","5-529304297","cold chain chamber constructed and value-chain operators trained | 1 operational fisheries infrastructure","output","2026-09-10"
"result_level","5-529304297","fish shop constructed and operational | 1 operational fisheries infrastructure","output","2026-09-10"
"result_level","5-529304297","storage structure constructed and operational | 1 operational fisheries infrastructure","output","2026-09-10"
"result_level","5-529304297","seasonal fishing closures implemented and regularly monitored |","process","2026-09-10"
"result_level","5-529304297","storage structure with parking area constructed and operational | 1 operational fisheries infrastructure","output","2026-09-10"
"result_level","5-529304297","2,134 value-chain operators benefited from training and equipment | 2134 value-chain operators trained/benefitted","output","2026-09-10"
"result_level","5-529304297","three fisheries management plans developed/updated and implemented | 3 fisheries management plans implemented","output","2026-09-10"
"result_level","5-529304297","695 land patrol days in target area | 695 land patrol days","process","2026-09-10"
"result_level","5-529304297","297 coastal patrol days in target area | 297 coastal patrol days","process","2026-09-10"
"result_level","5-529304297","integrated fis (siimaip) established with public dashboard and regularly updated data | 1 fis/dashboard operational","output","2026-09-10"
"result_level","5-529304297","1,217 recipients supported by matching grants scheme (1,213 individual family applicants; 4 commercial businesses) | 1217 recipients supported","output","2026-09-10"
"result_level","5-529304297","fish market constructed and operational | 1 fish market operational","output","2026-09-10"
"result_level","5-529304297","3,449 pcr participants reached in nampula province | 3449 pcr participants","output","2026-09-10"
"result_level","5-529304297","8,498 pcr participants reached in zambezia province | 8498 pcr participants","output","2026-09-10"
"result_level","5-529304297","5,599 pcr participants reached in sofala province | 5599 pcr participants","output","2026-09-10"
"result_level","5-529304297","43 ccps achieved performance targets in sofala bank | 43 ccps achieving performance targets","outcome","2026-09-10"
"result_level","5-529304297","government agencies' staff trained on relevant subjects (part of 31,068 reported) | 31068 government staff trained (mozambique total)","output","2026-09-10"
"result_level","5-529304297","seven fisheries management plans consulted, approved and implemented (tanzania total) | 7 fisheries management plans implemented","output","2026-09-10"
"result_level","5-529304297","5,547 vessels licensed in mainland tanzania | 5547 vessels licensed","output","2026-09-10"
"result_level","5-529304297","42 percent non-licensed vessels in mainland tanzania (2022) | 42 %","outcome","2026-09-10"
"result_level","5-529304297","octopus seasonal closures implemented in pangani (and kilwa) districts |","process","2026-09-10"
"result_level","5-529304297","prawn seasonal closure implemented in kibiti |","process","2026-09-10"
"result_level","5-529304297","octopus seasonal closure implemented in kilwa |","process","2026-09-10"
"result_level","5-529304297","bmu office constructed and operational in dunda | 1 bmu office operational","output","2026-09-10"
"result_level","5-529304297","bmu office constructed and operational in kipumbwi | 1 bmu office operational","output","2026-09-10"
"result_level","5-529304297","bmu office constructed and operational in saadani | 1 bmu office operational","output","2026-09-10"
"result_level","5-529304297","bmu office constructed and operational in sudi | 1 bmu office operational","output","2026-09-10"
"result_level","5-529304297","bmu office constructed and operational in zingibari | 1 bmu office operational","output","2026-09-10"
"result_level","5-529304297","tafiri wet lab constructed and operational in kunduchi | 1 wet laboratory operational","output","2026-09-10"
"result_level","5-529304297","staff accommodation constructed and operational | 1 staff accommodation operational","output","2026-09-10"
"result_level","5-529304297","nungwi fish market rehabilitated and operational | 1 fish market operational","output","2026-09-10"
"result_level","5-529304297","tumbe fish market rehabilitated and ice plant installed | 1 fish market operational","output","2026-09-10"
"result_level","5-529304297","cold rooms supplied and commissioned at malindi landing site | 1 cold room operational","output","2026-09-10"
"result_level","5-529304297","boat slipway at fumba completed and handed over (jan 2022) | 1 boat slipway operational","output","2026-09-10"
"result_level","5-529304297","ranger surveillance posts/field offices constructed/refurbished and operational | 1 ranger surveillance post operational","output","2026-09-10"
"result_level","5-529304297","ranger surveillance post/field office refurbished and operational | 1 ranger post operational","output","2026-09-10"
"result_level","5-529304297","ranger surveillance post/field office constructed/refurbished and operational | 1 ranger post operational","output","2026-09-10"
"result_level","5-529304297","ranger surveillance post constructed and operational | 1 ranger post operational","output","2026-09-10"
"result_level","5-529304297","new ranger surveillance post and field office constructed and operational | 1 ranger post operational","output","2026-09-10"
"result_level","5-529304297","mbef administration building refurbished and equipped | 1 administration building refurbished","output","2026-09-10"
"result_level","5-529304297","marine park administration block works partially completed (60% paid) | 60 %","output","2026-09-10"
"result_level","5-529304297","99 vfcs in targeted mcas achieved at least two performance targets (100%) | 99 vfcs achieving performance targets","outcome","2026-09-10"
"result_level","5-529304297","sea cucumber harvest and export increased (pemba and zanzibar) benefiting community members | 552 community members benefiting from sea cucumber production/export","outcome","2026-09-10"
"result_level","5-529304297","total number of improved technologies available to farmers & other end users 95 | 95 number of improved technologies","output","2026-09-10"
"result_level","5-529304297","total number of improved technologies available to farmers & other end users 115 | 115 number of improved technologies","output","2026-09-10"
"result_level","5-529304297","total number of improved technologies available to farmers & other end users 91 | 91 number of improved technologies","output","2026-09-10"
"result_level","5-529304297","rehabilitated regional centre of leadership for maize and maize based research, chitedze completed | research centre rehabilitated/equipped","output","2026-09-10"
"result_level","5-529304297","constructed a laboratory complex at chitedze housing a plant pathology, biotechnology, tissue culture and food science | laboratory complex constructed","output","2026-09-10"
"result_level","5-529304297","rehabilitated 5 laboratories: soil chemistry, soil physics, seed laboratory, plant pathology and nematology, library and conference room at bvumbwe | 5 laboratories rehabilitated","output","2026-09-10"
"result_level","5-529304297","constructed an administration office and warehouse at bvumbwe | administration office and warehouse constructed","output","2026-09-10"
"result_level","5-529304297","constructed a new administration office, conference room and library at kasinthula; rehabilitated irrigation infrastructure: fallow and sprinkler systems at kasinthula | infrastructure rehabilitated/constructed","output","2026-09-10"
"result_level","5-529304297","built a new rice research center in namacura | research center constructed","output","2026-09-10"
"result_level","5-529304297","constructed rcol in namacurra completed | regional center constructed","output","2026-09-10"
"result_level","5-529304297","rehabilitated 1 main building and 1 dormitory for students and trainees at umbelúzi; involved women’s groups in value addition initiatives | building and dormitory rehabilitated; groups involved","output","2026-09-10"
"result_level","5-529304297","three irrigation systems were rehabilitated in chókwe, umbelúzi and ribaué completed | 3 irrigation systems rehabilitated","output","2026-09-10"
"result_level","5-529304297","rehabilitated soil laboratory at mt makulu research station completed | soil laboratory rehabilitated","output","2026-09-10"
"result_level","5-529304297","zari expedited the fencing off of the reservoir and erected appropriate warning signs; sensitized all communities, schools and clinics | reservoir fenced and signage installed; community sensitized","output","2026-09-10"
"result_level","5-529304297","minor rehabilitations at mt makulu, kabwe, misamfu, mutanda, mansa, mufulira, nanga and mochipapa research stations completed | research stations rehabilitated (minor works)","output","2026-09-10"
"result_level","5-529304297","constructed irrigation system at kabwe research station completed; rehabilitated soil laboratory at kabwe; rehabilitated 1.8 km road to gravel standard at kabwe research station | irrigation system constructed; laboratory rehabilitated; road rehabilitated","output","2026-09-10"
"result_level","5-529304297","rehabilitated a cold room at golden valley research station completed | cold room rehabilitated","output","2026-09-10"
"result_level","5-529304297","maintenance & multiplication 100kg breeders seed; multiplication of 500kg foundation seed (beans and rice - msamfu research station) | 100 kg breeders seed","output","2026-09-10"
"result_level","5-529304297","maintenance & multiplication 100kg breeders seed; multiplication of 500kg foundation seed (beans and rice - msamfu research station) | 500 kg foundation seed multiplied","output","2026-09-10"
"result_level","5-529304297","maintenance & multiplication 100kg breeders seed (cowpea - mochipapa research station) | 100 kg breeders seed","output","2026-09-10"
"result_level","5-529304297","multiplication of 500kg foundation seed (cowpea - mochipapa research station) | 500 kg foundation seed","output","2026-09-10"
"result_level","5-529304297","maintenance & multiplication 1800kg breeders seed (groundnut - msekera research station) | 1800 kg breeders seed","output","2026-09-10"
"result_level","5-529304297","multiplication of 4000kg foundation seed (groundnut - msekera research station) | 4000 kg foundation seed","output","2026-09-10"
"result_level","5-529304297","maintenance & multiplication 200kg breeders seed (rice – mongu) | 200 kg breeders seed","output","2026-09-10"
"result_level","5-529304297","multiplication of 4000kg foundation seed (rice – mongu) | 4000 kg foundation seed","output","2026-09-10"
"result_level","5-529304297","minor rehabilitations at mt makulu, kabwe, misamfu, mutanda, mansa, mufulira, nanga and mochipapa research stations completed | research stations minor rehabilitations completed","output","2026-09-10"
"result_level","5-529304297","installation of solar drying equipment at salima completed | solar drying equipment installed","output","2026-09-10"
"result_level","5-529304297","rehabilitated 1 office, 1 warehouse, 1 threshing-floor, 1 entomology laboratory at chókwe; irrigation system rehabilitated (joint) | infrastructure rehabilitated","output","2026-09-10"
"result_level","5-529304297","rehabilitated 1 administrative block and 1 entomology laboratory at nampula completed | 1 administrative block rehabilitated","output","2026-09-10"
"result_level","5-529304297","rehabilitated 7 houses, 4 outbuildings, 2 warehouses, 2 office buildings at sussundenga completed | 7 houses rehabilitated","output","2026-09-10"
"result_level","5-529304297","rehabilitated 1 house at nametil completed | 1 house rehabilitated","output","2026-09-10"
"result_level","5-529304297","three irrigation systems were rehabilitated in chókwe, umbelúzi and ribaué completed | 3 irrigation systems rehabilitated (total)","output","2026-09-10"
"result_level","5-529304297","mocuba is a very aromatic and marketable paddy rice variety... yield potential up to 5 tons per hectare | tons per hectare (yield potential)","output","2026-09-10"
"result_level","5-529304297","in mulanje district a farmer harvested two and half 50kg bags from a 0.01 ha plot; 3,200 farmers already expressed interest to grow one of the two varieties | field demonstration results and farmer interest recorded","output","2026-09-10"
"result_level","5-529304297","the group received parent seed material from appsa and training on seed multiplication | group trained and supplied with parent seed","output","2026-09-10"
"actor_match","1-937753608","nepad planning and coordinating agency","CON14","2026-09-14"
"actor_match","1-937753608","gef trust fund (get)","GLO28","2026-09-14"
"actor_match","1-937753608","nepad","CON14","2026-09-14"
"actor_match","1-937753608","institute of agricultural research for development - irad (cameroon)","CMR1","2026-09-14"
"actor_match","1-937753608","rwanda agriculture board (rab)","RWA1","2026-09-14"
"actor_match","1-937753608","chidetze agricultural research station","MWI2","2026-09-14"
"actor_match","1-937753608","zambia agricultural research institute (zari)","ZAM7","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: country africa | locations: 26 partial (lists 15 of the counted countries): ""15 countries received support on their slwm country strategic investment framework (csif) including uganda, madagascar, ghana, gambia, mali, kenya, niger, senegal, drc, burkina faso, cote d’ivoire, nigeria, malawi, t","multinational","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: ""burkina faso, burundi, eswatini, ethiopia, ghana, kenya, malawi, niger, nigeria, senegal, tanzania, uganda"" [page 18] | locations: 12 12 countries are named as receiving support: ""burkina faso, burundi, eswatini, ethiopia, ghana, kenya, malawi, niger, nigeria, senegal, tanzania, uganda"" [pag","multinational","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: brazil, indonesia, liberia, paraguay | locations: 1 brazil, indonesia, liberia, paraguay","multinational","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: ""cabo verde, côte d’ivoire, ecuador, indonesia, peru, senegal"" [page 17] | locations: 3 counted only the african countries from the list: ""cabo verde, côte d’ivoire, ecuador, indonesia, peru, senegal"" [page 17]","multinational","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: evaluation of niassa food and livelihood security programme in mozambique 1. association survey questionnaire - an inquiry into the specific situation of primary level associations - niassa province – southern zone ""a survey questionnaire implemented with 28 associations in five districts in ","sub-national","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: ""the project’s goal is to strengthen food security in four countries of the lake chad basin area, namely cameroon, niger, nigeria and chad."" [page 8] | locations: 20 20 pilot villages are named as receiving support: ""research and development was conducted in 20 pilot villages, at the rate of ","multinational","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: in total, four fgds were conducted, engaging 33 smallholder farmers from the rwamagana and ngoma districts, selected to reflect the diverse geographical and socio-economic contexts within the kohunya and imberutso za karembo cooperatives. | locations: 4 counted four locations at district/coop","sub-national","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: the study’s geographical scope was nationwide, with specific emphasis on regions where acre rwanda has the highest farmer uptake of insurance products, including the northern, southern, eastern, and western provinces, and kigali city. | locations: 5 ""the study’s geographical scope was nationw","national","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: ""this implementation completion and results report (icr) evaluates the south west indian ocean fisheries governance and shared growth project 1 (swiofish1) – a first in the swiofish series of operations (sop), with international development association (ida) credits and grants and global envi","multinational","2026-09-14"
"project_scale (geographic level of the project)","6-672912753","scope: ""the participating sadc countries were malawi, mozambique and zambia, and the priority crops chosen were maize, rice, and legumes."" | locations: 3 ""the participating sadc countries were malawi, mozambique and zambia, and the priority crops chosen were maize, rice, and legumes.""","multinational","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","there can be no doubt as to the high degree of relevance of the project for the achievement of the ultimate goal of sustaining the natural resource base to improve the livelihoods of the rural population of ssa.","community","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","improving agricultural sustainability and productivity for smallholder farmers across sub-saharan africa","smallholder farmer","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","in liberia, smallholder palm oil producers adopted more sustainable practices, while in paraguay’s chaco region, ranchers improved grazing and traceability. in indonesia, nearly 2,700 farmers were trained in sustainable intensification, with 89 percent adoption.","smallholder farmer","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","bolstering small-scale coastal fisheries governance while securing environmental, social, and economic benefits for local communities","artisanal fisher","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","it aims to evaluate if the end user groups, particularly small-scale farmers, benefitted from the product education intervention and its subsequent activities.","smallholder farmer","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","this initiative has taken a forward-thinking approach towards agricultural insurance, aiming to offer an invaluable safety net to smallholder farmers.","smallholder farmer","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","the primary beneficiaries of the appsa were farmers, livestock producers, and other potential end-users of the improved technology and knowledge generated and/or disseminated by the program.","producer","2026-09-14"
"document_type","19-197634846","oxfam gb programme evaluation","CANDIDATE: Programme evaluation","2026-09-14"
"result_metric (what a project result counts)","27-668944407","4.7 million beneficiaries (111 percent of target)","total beneficiaries","2026-09-14"
"result_metric (what a project result counts)","27-668944407","reaching 10,496 beneficiaries (175 percent of its target)","total beneficiaries","2026-09-14"
"result_metric (what a project result counts)","27-668944407","""393 women improving their conditions""","women beneficiaries","2026-09-14"
"result_metric (what a project result counts)","27-668944407","nearly ten thousand (10 000) farm managers (compared to one thousand envisaged at project start-up) were able to increase their yields of subsistence crops (millet, sorghum, cowpea).","smallholder farmers reached","2026-09-14"
"result_metric (what a project result counts)","27-668944407","with approximately 43% of farmers feeling confident and the rest expressing moderate confidence","crop producers","2026-09-14"
"result_metric (what a project result counts)","27-668944407","participation of over 10,000 individuals in such programs.","total beneficiaries","2026-09-14"
"result_metric (what a project result counts)","27-668944407","direct project beneficiaries","direct beneficiaries","2026-09-14"
"result_unit","12-116947432","women","individuals","2026-09-14"
"result_unit","12-116947432","associations","organizations","2026-09-14"
"result_unit","12-116947432","farm managers","individuals","2026-09-14"
"result_metric (what a project result counts)","27-668944407","countries supported in their slm country investment framework development, implementation, or update","CANDIDATE: countries supported","2026-09-14"
"result_metric (what a project result counts)","27-668944407","47 percent of beneficiaries were women","women beneficiaries","2026-09-14"
"result_metric (what a project result counts)","27-668944407","reaching 22,526 beneficiaries (66 percent of target)","direct beneficiaries","2026-09-14"
"result_metric (what a project result counts)","27-668944407","""the unicas in tumbes have increased from 12 to 17""","CANDIDATE: UNICAs units","2026-09-14"
"result_metric (what a project result counts)","27-668944407","almost 500 farmer field school days ... were organized each year (2003 and 2004)","CANDIDATE: Farmer Field School days","2026-09-14"
"result_metric (what a project result counts)","27-668944407","sold fewer than 5,000 policies to smallholder farmers since the program’s inception in 2019.","CANDIDATE: insurance policies sold","2026-09-14"
"result_metric (what a project result counts)","27-668944407","female beneficiaries","women beneficiaries","2026-09-14"
"result_unit","12-116947432","farmer field school days","CANDIDATE: Farmer Field School days","2026-09-14"
"result_metric (what a project result counts)","27-668944407","terrestrial protected areas (57 thousand ha, 100 percent)","terrestrial protected areas","2026-09-14"
"result_metric (what a project result counts)","27-668944407","land benefiting from improved natural resource management and practices for biodiversity","biodiversity landscapes conserved","2026-09-14"
"result_metric (what a project result counts)","27-668944407","""implementation of a primary processing plant for crab extracted from the sanctuary and shrimp produced in its buffer zone""","processors","2026-09-14"
"result_metric (what a project result counts)","27-668944407","number associations association legally recognized","CANDIDATE: Associations legally recognized","2026-09-14"
"result_metric (what a project result counts)","27-668944407","comoros (direct project beneficiaries)","direct beneficiaries","2026-09-14"
"result_metric (what a project result counts)","27-668944407","direct beneficiaries - malawi","direct beneficiaries","2026-09-14"
"result_unit","12-116947432","plant","quantity","2026-09-14"
"result_unit","12-116947432","visits","quantity","2026-09-14"
"result_unit","12-116947432","policies","quantity","2026-09-14"
"funding_mechanism (financing instrument type)","6-894277550","instrument wording: funded by the swiss capacity building facility (scbf). | portion:","grant","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","total population - members in associations assisted by ogb in southern niassa = 6,324 (data from oxfam cuamba)","farmer association","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","7. beneficiary : 4 lcbc countries: cameroon, niger, nigeria and chad","NOT STATED","2026-09-14"
"target_beneficiary_project (who the project targets)","24-407073859","(d) number of direct project beneficiaries (of whom % are females) - comoros (target: 10,000, 27%) - mozambique (target: 60,000, 10%) - tanzania (target: 65,000, 50%) - regional (target: 50, 30%)","NOT STATED","2026-09-14"
"result_metric (what a project result counts)","27-668944407","an slwm knowledge platform at ssa level for knowledge support to country investments is up and running with full functionalities available","NOT STATED","2026-09-14"
"result_metric (what a project result counts)","27-668944407","number associations land not legalized","CANDIDATE: associations not legalized","2026-09-14"
"result_metric (what a project result counts)","27-668944407","percent","NOT STATED","2026-09-14"
"result_metric (what a project result counts)","27-668944407","all the farmers indicated that they would recommend the insurance services to their friends and neighbours","smallholder farmers reached","2026-09-14"
"result_unit","12-116947432","unicas","NOT STATED","2026-09-14"
"result_metric (what a project result counts)","27-668944407","new knowledge and advocacy products disseminated at country level","NOT STATED","2026-09-14"
"result_metric (what a project result counts)","27-668944407","600 visits to demonstration plots established in pilot farmers’ fields were organized each year (2003 and 2004)","NOT STATED","2026-09-14"
"result_metric (what a project result counts)","27-668944407","their companies sold over 20,001 policies during the same period.","NOT STATED","2026-09-14"
"subsector type","7-736603905","non-timber forest products and processing | established a shea processing facility (community processing)","agri-food","2026-09-14"
"subsector type","7-736603905","agroforestry / restoration | integrated agroforestry seedlings distribution with nursery training","land use","2026-09-14"
"subsector type","7-736603905","irrigation infrastructure / climate resilience | infrastructure improvements, notably for irrigation, to enhance climate resilience","farming system-crop","2026-09-14"
"subsector type","7-736603905","sustainable agriculture / watershed measures | demonstration plots and sustainable practices including ridging, improved soil fertility management, water retention methods, intercropping","farming system-crop","2026-09-14"
"subsector type","7-736603905","reducing deforestation in commodity supply chains | in liberia, smallholder palm oil producers adopted more sustainable practices","farming system-crop","2026-09-14"
"subsector type","7-736603905","reducing deforestation in commodity supply chains | ggp support for the national oil palm platform (noppol) aligned partners around sustainability guidelines that followed the global roundtable on sustainable palm oil","agri-food","2026-09-14"
"subsector type","7-736603905","bolstering small-scale coastal fisheries governance | cold chain and market access improvements in cabo verde","farming system-fish","2026-09-14"
"subsector type","7-736603905","crop production; livestock; marketing | distribution of agricultural inputs (seeds, goats, fertilizers, pesticides, tools, motorized pumps)","farming system-mixed","2026-09-14"
"subsector type","7-736603905","capacity building; extension | training & technical assistance (at) provided by oxfam","cross cutting","2026-09-14"
"subsector type","7-736603905","organisational/legal | legalization status of primary associations (surveyed)","cross cutting","2026-09-14"
"subsector type","7-736603905","production planning | existence of written annual production plans at associations (surveyed)","cross cutting","2026-09-14"
"subsector type","7-736603905","marketing | group sales by associations (collective marketing)","agri-food","2026-09-14"
"subsector type","7-736603905","marketing/contracts | associations having had contracts to produce for a buyer","agri-food","2026-09-14"
"subsector type","7-736603905","marketing/contracts | buyer j.f.s - tobacco (contracts)","farming system-crop","2026-09-14"
"subsector type","7-736603905","marketing/contracts | buyer m.l.t - tobacco (contracts)","farming system-crop","2026-09-14"
"subsector type","7-736603905","marketing/contracts | buyer devolt - sunflower (contracts)","farming system-crop","2026-09-14"
"subsector type","7-736603905","marketing/contracts | buyer ucasn - sesame (contracts)","farming system-crop","2026-09-14"
"subsector type","7-736603905","marketing/contracts | buyer world relief - paprika (contracts)","farming system-crop","2026-09-14"
"subsector type","7-736603905","training | training provided by ucasn or oxfam in business plan / business development","cross cutting","2026-09-14"
"subsector type","7-736603905","training | training provided by ucasn or oxfam in marketing","cross cutting","2026-09-14"
"subsector type","7-736603905","training/health | training provided by ucasn or oxfam in hiv/sida","cross cutting","2026-09-14"
"subsector type","7-736603905","gender; governance | presence of women as elected leaders in associations (surveyed)","cross cutting","2026-09-14"
"subsector type","7-736603905","finance | associations with an operations fund (association finance)","cross cutting","2026-09-14"
"subsector type","7-736603905","banking/finance | associations with bank accounts (surveyed)","cross cutting","2026-09-14"
"subsector type","7-736603905","microfinance; savings | xitique (mutual trust lending) practiced by mirreia ii association","cross cutting","2026-09-14"
"subsector type","7-736603905","extension/technical assistance | evidence of a dynamic extension process at the association level","cross cutting","2026-09-14"
"subsector type","7-736603905","extension/technical assistance | evidence of a dynamic extension process at the association level (maúa town)","cross cutting","2026-09-14"
